EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
750000.100,-590125.300,-421919.700,-750000.100,750000.100,29971.280,441866.200,13530.320,0.000
652631.100,-750000.100,-750000.100,-750000.100,750000.100,-57575.770,633324.400,-344417.300,0.000
566122.400,-501766.500,-750000.100,-750000.100,750000.100,-22404.940,302852.100,-214521.700,0.000
566545.900,284965.800,204125.500,-750000.100,750000.100,326143.300,-437859.000,154969.800,0.000
616612.100,390701.100,750000.100,18995.050,750000.100,568365.200,-335366.000,325263.800,0.000
683560.900,366516.300,750000.100,640089.000,750000.100,582842.500,284867.000,476302.600,0.000
750000.100,501808.800,750000.100,667397.400,750000.100,597447.800,750000.100,618811.800,0.000
750000.100,750000.100,750000.100,669924.800,750000.100,750000.100,711860.000,734638.200,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,680803.700,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
705969.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
618267.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
564186.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
543572.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
528221.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
514027.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
500973.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
488990.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
477901.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
467525.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
457817.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
448813.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
440479.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
432694.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
425326.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
418370.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
411866.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
405816.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
400136.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
394717.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
389548.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
384702.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
380191.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
375928.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
371832.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
367903.900,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
364213.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
360770.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
357502.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
354345.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
351290.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
348411.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
345731.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
